Source,Freq Lower (GHz),Freq Upper (GHz),Freq Width (GHz),# of Data Points,Sigma (K)
Proposal,N/A,N/A,N/A,N/A,0.2
12C16O,115.367997451086,115.371049456201,0.00305200511552073,25,0.120338631469271
12C17O,112.432786934548,112.437670136973,0.00488320242432394,40,0.0739014447368852
12C18O,109.717175262388,109.720227345588,0.00305208319930728,25,0.0602427569784731
13C16O,110.102788374883,110.108892542845,0.00610416796111224,50,0.0607689173106838
A.spw29,97.0899978959042,97.1144131067062,0.0244152108020757,25,0.0323721220726763
A.spw31,99.003732261259,99.0067843243983,0.00305206313935003,25,0.070220125523707
B.spw29,100.791785494039,100.816200519509,0.0244150254699633,25,0.0259354142536199
B.spw31,102.562346263083,102.586761290742,0.0244150276588471,25,0.0225492152221944
