Transition,Central Freq (GHz),Amplitude (K),Width (km/s), E_upper (K)
6(0)-5(0),102.53436603081066,2.097423957000515,2.702668615412108, 17.22542
6(1)-5(1),102.53238555875987,1.5,2.230458213850625, 24.42607
6(2)-5(2),102.52664902517863,1.0917985454631056,2.367634213198585, 46.02789
6(3)-5(3),102.5169220153909,0.9841442474600036,2.537729106948518, 82.03088
6(4)-5(4),102.50306257916623,0.25,2.0902107325076713,132.43518
