_idx,area_ellipse,area_exact,flux,major_sigma,minor_sigma,position_angle,radius,x_cen,y_cen
0,82.85560676979918,312.5024,0.19757101965984866,6.368340549397159,2.9874296501338633,171.4269461166112,4.361762187398443,224.02775209253696,237.56650737257885
1,86.25013124513212,329.75040000000007,0.19948958900766947,6.501267548762737,3.046237708924567,170.1847663945199,4.450214192917981,223.6931416546675,237.76125925932257
2,70.80210915514938,211.68000000000004,0.18323392734574073,5.982730919142354,2.7173700803447156,172.41394832700024,4.032033481809231,224.39799349493416,237.23937667616394
3,67.78859328119609,197.96000000000004,0.18046429681910853,5.925183912679727,2.626980512121846,172.75482432946657,3.94529373676378,224.58271826432534,237.0176248375157
4,23.43723929393775,117.75680000000001,0.14775702712911018,2.6648739013052145,2.0194441882544303,129.18711652131017,2.3198198448202234,231.65370745786117,235.54880247874124
5,16.790016323561495,94.31520000000002,0.13985874693575515,2.5617874076511074,1.5049085033885865,115.40185312945852,1.963480494847849,232.6684031102433,235.51580941653265
6,10.176115729114922,56.918400000000005,0.1239855248607938,1.8627558633666605,1.2543772321644218,96.32558662154463,1.5285936491062364,233.75936032137565,234.15718575943805
8,6.139545917443403,34.339200000000005,0.10966425914436578,1.243832403503216,1.133382361503131,130.2454954598294,1.1873237582043874,233.92146428289968,232.8072865910193
9,55.961014755829154,148.0192,0.16802729743860573,5.749932650989129,2.23472911702201,170.5835729846599,3.584625770715956,224.7817883567947,236.330056947695
10,2.631542044089641,7.996800000000001,0.0032104729807007635,0.9114921800310316,0.6629174183969389,-147.06201497085462,0.7773313597656853,207.561822611257,233.58669324476602
11,8.139798764553726,28.694400000000005,0.019833197621799147,2.0902278231524214,0.8941741451972345,152.11798939928266,1.3671238704063333,174.05919336986858,242.043033263266
12,2.818197468182273,10.976,0.011084460116754617,0.894473695400127,0.7234456528972025,94.15908082547867,0.8044271915892192,177.80271519685766,240.32398452438736
13,2.1820684544431366,7.369600000000001,0.005112482909469958,0.7551828695174287,0.6634654399641281,-175.7335227649526,0.7078401901402276,166.14106959607707,245.88977967780025
15,3.7149319670178014,8.467200000000002,0.0046363811274659225,1.7090283924686105,0.4991184814616758,80.12318981590064,0.9235841358662576,216.93114135605256,253.02059103447039
16,1.3853236017856871,4.233600000000001,0.0023736199510182255,0.6779331258180653,0.4692091172869656,98.33872611620714,0.56399681164408,215.93091560740206,248.12282288278325
18,1.8827706556928632,6.115200000000001,0.005398898387625543,0.761131171149434,0.5679890679818685,69.55048989610685,0.6575060338225917,234.89973450218676,252.16515934698614
20,1.0667730749340436,3.1360000000000006,0.001741874564850152,0.5855422676677393,0.418326964989582,59.88279800555814,0.49492233704548316,218.08042424018248,259.3165329241348
22,2.9409432985696244,7.526400000000001,0.0010245942172084634,1.1411017868035855,0.5917855143144091,65.82621363716706,0.8217587892980829,166.2933260425739,272.7844455765637
